Classi,N. Classi,Scuola,Settimana,Giorno,Fascia Oraria,Data e Ora,Formatrice,Accorpamento
"3C, 3CL, 3GL, 4B",4,"IIS PeanoRosa, IIS. E. Mattei",0,Giovedì,Mattino1,29/01/2026 09:00-11:00,Margherita,Sì
"4ALSA, 4CI",2,IIS Amedeo D'Aosta,0,Giovedì,Mattino1,29/01/2026 09:00-11:00,Ida,Sì
"3O, 5F",2,Liceo Scientifico Leonardo da Vinci,0,Giovedì,Mattino1,29/01/2026 09:00-11:00,Anita,Sì
"3BLSA, 3CI, 3F, 3G",4,"IIS Amedeo D'Aosta, Liceo Scientifico Einstein",0,Giovedì,Mattino2,29/01/2026 11:00-13:00,Ida,Sì
"4B, 4BSA",2,Liceo Scientifico G. Galilei,0,Giovedì,Mattino2,29/01/2026 11:00-13:00,Margherita,Sì
"4BU, 4CU",2,Liceo Pascal,0,Giovedì,Pomeriggio,29/01/2026 14:00-16:00,Anita,Sì
"3AtMb, 3InA, 4GL, 5AL",4,"IIS PeanoRosa, IIS L.Da Vinci-De Giorgio",0,Venerdì,Mattino1,30/01/2026 09:00-11:00,Ida,Sì
"4ASA, 4H",2,Liceo Scientifico G. Galilei,0,Venerdì,Mattino1,30/01/2026 09:00-11:00,Anita,Sì
"4D, 4F, 4G, 4H",4,Liceo Scientifico Leonardo da Vinci,0,Venerdì,Mattino2,30/01/2026 11:00-13:00,Andreea,Sì
"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,0,Venerdì,Mattino2,30/01/2026 11:00-13:00,Anita,Sì
"4AS, 4BS, 5AS, 5BS",4,Liceo Pascal,0,Venerdì,Pomeriggio,30/01/2026 14:00-16:00,Anita,Sì
"3A, 4C",2,Liceo Scientifico P. P. Pasolini,0,Venerdì,Pomeriggio,30/01/2026 14:00-16:00,Margherita,Sì
"4B, 4H",2,Liceo Scientifico G. Galilei,1,Lunedì,Mattino2,02/02/2026 11:00-13:00,Anita,Sì
"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,1,Martedì,Mattino1,03/02/2026 09:00-11:00,Ida,Sì
"3F, 3G",2,Liceo Scientifico Einstein,1,Martedì,Mattino2,03/02/2026 11:00-13:00,Ida,Sì
"3C, 3CL, 3GL, 4B",4,"IIS PeanoRosa, IIS. E. Mattei",1,Mercoledì,Mattino1,04/02/2026 09:00-11:00,Anita,Sì
"3A, 4C",2,IIS. E. Mattei,1,Mercoledì,Pomeriggio,04/02/2026 14:00-16:00,Anita,Sì
"4C, 5E",2,Liceo Scientifico P. P. Pasolini,1,Mercoledì,Pomeriggio,04/02/2026 14:00-16:00,Andreea,Sì
"4G, 4H",2,Liceo Scientifico Leonardo da Vinci,1,Giovedì,Mattino2,05/02/2026 11:00-13:00,Ida,Sì
